index,kanji,kanji_old,radical,strokes,grade,year,meanings,on,kun,frequency,jlpt
1784,奮,,大,16,6,,stirred up,フン,ふる-う,3721,1
1785,分,,刀,4,2,,part|minute of time,ブン|フン|ブ,わ-ける|わ-かれる|わ-かる|わ-かつ,68,5
1786,文,,文,4,1,,writing,ブン|モン,ふみ,815,4
1787,聞,,耳,14,2,,hear,ブン|モン,き-く|き-こえる,101,5
1788,丙,,一,5,S,,third class,ヘイ,,32181,1
1789,平,,干,5,3,,flat,ヘイ|ビョウ,たい-ら|ひら,249,3
1790,兵,,八,7,4,,soldier,ヘイ|ヒョウ,,3559,2
1791,併,倂,人,8,S,,join,ヘイ,あわ-せる,4019,1
1792,並,竝,立,8,6,,line-up,ヘイ,なみ|なら-べる|なら-ぶ|なら-びに,790,2
1793,柄,,木,9,S,,design,ヘイ,がら|え,3278,1
1794,陛,,阜,10,6,,highness,ヘイ,,5855,1
1795,閉,,門,11,6,,closed,ヘイ,と-じる|と-ざす|し-める|し-まる,1559,3
1796,塀,塀,土,12,S,1981,fence,ヘイ,,6714,1
1797,幣,,巾,15,S,,cash,ヘイ,,8598,1
1798,弊,,廾,15,S,,abuse,ヘイ,,7909,1
1799,蔽,,艸,15,S,2010,cover,ヘイ,,20746,1
1800,餅,餠,食,15,S,2010,mochi rice cake,ヘイ,もち,5468,1
1801,米,,米,6,2,,rice,ベイ|マイ,こめ,1022,3
1802,壁,,土,16,S,,wall,ヘキ,かべ,867,1
1803,璧,,玉,18,S,2010,sphere,ヘキ,,3289,1
1804,癖,,疒,18,S,,mannerism,ヘキ,くせ,1654,1
1805,別,,刀,7,4,,separate,ベツ,わか-れる,370,4
1806,蔑,,艸,14,S,2010,ignore,ベツ,さげす-む,9336,1
1807,片,,片,4,6,,one-sided,ヘン,かた,3203,2
1808,辺,邊,辵,5,4,,environs,ヘン,あた-り|べ,716,2
1809,返,,辵,7,3,,return,ヘン,かえ-す|かえ-る,243,3
1810,変,變,言,9,4,,change,ヘン,か-わる|か-える,220,3
1811,偏,,人,11,S,,partial,ヘン,かたよ-る,6244,1
1812,遍,,辵,12,S,,everywhere,ヘン,,8010,1
1813,編,,糸,15,5,,compile,ヘン,あ-む,4722,2
1814,弁,辨瓣辯,辛瓜辛,5,5,,valve,ベン,,2244,1
1815,便,,人,9,4,,convenience,ベン|ビン,たよ-り,1677,3
1816,勉,勉,力,10,3,,exertion,ベン,,1487,4
1817,歩,步,止,8,2,,walk,ホ|ブ（フ）,ある-く|あゆ-む,385,4
1818,保,,人,9,5,,preserve,ホ,たも-つ,1371,1
1819,哺,,口,10,S,2010,suckle,ホ,,13199,1
1820,捕,,手,10,S,,catch,ホ,と-らえる|と-らわれる|と-る|つか-まえる|つか-まる,846,3
1821,補,,衣,12,6,,supplement,ホ,おぎな-う,4467,2
1822,舗,,舌,15,S,,pavement,ホ,,4528,1
1823,母,,毋,5,2,,mother,ボ,はは,383,5
1824,募,,力,12,S,,recruit,ボ,つの-る,3403,2
1825,墓,,土,13,5,,grave,ボ,はか,3087,1
1826,慕,,心,14,S,,pining,ボ,した-う,9204,1
1827,暮,,日,14,6,,livelihood,ボ,く-れる|く-らす,1175,3
1828,簿,,竹,19,S,,register,ボ,,10702,1
1829,方,,方,4,2,,direction,ホウ,かた,74,4
1830,包,,勹,5,4,,wrap,ホウ,つつ-む,1354,2
1831,芳,,艸,7,S,,perfume,ホウ,かんば-しい,18278,1
1832,邦,,邑,7,S,,home country,ホウ,,12499,1
1833,奉,,大,8,S,,observance,ホウ（ブ）,たてまつ-る,13116,1
1834,宝,寶,宀,8,6,,treasure,ホウ,たから,6300,2
1835,抱,,手,8,S,,embrace,ホウ,だ-く|いだ-く|かか-える,931,3
1836,放,,攴,8,3,,release,ホウ,はな-す|はな-つ|はな-れる|ほう-る,2155,3
1837,法,,水,8,4,,method,ホウ（ハッ）（ホッ）,,253,3
1838,泡,,水,8,S,1981,bubbles,ホウ,あわ,6120,1
1839,胞,,肉,9,S,,placenta,ホウ,,2568,1
1840,俸,,人,10,S,1981,salary,ホウ,,24503,1
1841,倣,,人,10,S,,emulate,ホウ,なら-う,5884,1
1842,峰,,山,10,S,,summit,ホウ,みね,14527,1
1843,砲,,石,10,S,,cannon,ホウ,,8161,1
1844,崩,,山,11,S,,crumble,ホウ,くず-れる|くず-す,2769,1
1845,訪,,言,11,6,,visit,ホウ,おとず-れる|たず-ねる,1031,3
1846,報,,土,12,5,,report,ホウ,むく-いる,350,3
1847,蜂,,虫,13,S,2010,bee,ホウ,はち,8243,1
1848,豊,豐,豆,13,5,,bountiful,ホウ,ゆた-か,1325,2
1849,飽,,食,13,S,,sated,ホウ,あ-きる|あ-かす,1311,1
1850,褒,襃,衣,15,S,1981,praise,ホウ,ほ-める,2464,1
1851,縫,,糸,16,S,,sew,ホウ,ぬ-う,5325,1
1852,亡,,亠,3,6,,deceased,ボウ（モウ）,な-い,1490,3
1853,乏,,丿,4,S,,scarce,ボウ,とぼ-しい,4244,1
1854,忙,,心,6,S,,busy,ボウ,いそが-しい,1488,3
1855,坊,,土,7,S,,boy,ボウ（ボッ）,,3980,1
1856,妨,,女,7,S,,disturb,ボウ,さまた-げる,4584,1
1857,忘,,心,7,6,,forget,ボウ,わす-れる,426,3
1858,防,,阜,7,5,,prevent,ボウ,ふせ-ぐ,1713,2
1859,房,,戶,8,S,,tassel,ボウ,ふさ,3398,1
1860,肪,,肉,8,S,,obese,ボウ,,4663,1
1861,某,,木,9,S,,so-and-so,ボウ,,15600,1
1862,冒,,冂,9,S,,risk,ボウ,おか-す,4084,1
1863,剖,,刀,10,S,,divide,ボウ,,14488,1
1864,紡,,糸,10,S,,spinning,ボウ,つむ-ぐ,18835,1
1865,望,,月,11,4,,hope,ボウ|モウ,のぞ-む,1202,3
1866,傍,,人,12,S,,bystander,ボウ,かたわ-ら,2930,1
1867,帽,,巾,12,S,,cap,ボウ,,3106,2
1868,棒,,木,12,6,,rod,ボウ,,3752,2
1869,貿,,貝,12,5,,trade,ボウ,,3987,2
1870,貌,,豸,14,S,2010,appearance,ボウ,,10578,1
1871,暴,,日,15,5,,outburst,ボウ（バク）,あば-く|あば-れる,3221,2
1872,膨,,肉,16,S,,swell,ボウ,ふく-らむ|ふく-れる,2970,1
1873,謀,,言,16,S,,conspire,ボウ（ム）,はか-る,9680,1
1874,頰,,頁,16,S,2010,cheek,,ほお,405782,1
1875,北,,匕,5,2,,north,ホク,きた,1500,5
1876,木,,木,4,1,,tree,ボク|モク,き（こ）,449,5
1877,朴,,木,6,S,1981,crude,ボク,,5232,1
1878,牧,,牛,8,4,,breed,ボク,まき,9637,1
1879,睦,,目,13,S,2010,harmonious,ボク,,28477,1
1880,僕,,人,14,S,1981,me,ボク,,135,1
1881,墨,墨,土,14,S,,black ink,ボク,すみ,6456,1
1882,撲,,手,15,S,,slap,ボク,,8072,1
1883,没,沒,水,7,S,,drown,ボツ,,10556,1
1884,勃,,力,9,S,2010,rise,ボツ,,16916,1
1885,堀,,土,11,S,1981,ditch,,ほり,9601,1
1886,本,,木,5,1,,book,ホン,もと,111,5
1887,奔,,大,8,S,,bustle,ホン,,16605,1
1888,翻,飜,飛,18,S,,flip,ホン,ひるがえ-る|ひるがえ-す,6207,1
1889,凡,,几,3,S,,mediocre,ボン（ハン）,,2400,1
1890,盆,,皿,9,S,,basin,ボン,,8865,1
1891,麻,,麻,11,S,,hemp,マ,あさ,7116,1
1892,摩,,手,15,S,,chafe,マ,,10132,1
1893,磨,,石,16,S,1981,grind,マ,みが-く,3187,2
1894,魔,,鬼,21,S,,witch,マ,,3907,1
1895,毎,每,毋,6,2,,every,マイ,,842,5
1896,妹,,女,8,2,,younger sister,マイ,いもうと,1701,4
1897,枚,,木,8,6,,sheet of...,マイ,,1215,2
1898,昧,,日,9,S,2010,foolish,マイ,,3134,1
1899,埋,,土,10,S,,bury,マイ,う-める|う-まる|う-もれる,2649,2
1900,幕,,巾,13,6,,curtain,マク|バク,,2736,1
1901,膜,,肉,14,S,,membrane,マク,,10334,1
1902,枕,,木,8,S,2010,pillow,,まくら,6159,1
1903,又,,又,2,S,,or again,,また,81,1
1904,末,,木,5,4,,end,マツ|バツ,すえ,2842,3
1905,抹,,手,8,S,1981,rub,マツ,,16768,1
1906,万,萬,艸,3,2,,ten thousand,マン|バン,,4467,5
1907,満,滿,水,12,4,,full,マン,み-ちる|み-たす,1521,3
1908,慢,,心,14,S,,ridicule,マン,,2636,1
1909,漫,,水,14,S,,cartoon,マン,,2902,1
1910,未,,木,5,4,,not yet,ミ,,177,3
1911,味,,口,8,3,,flavor,ミ,あじ|あじ-わう,186,4
1912,魅,,鬼,15,S,,fascination,ミ,,1353,1
1913,岬,,山,8,S,1981,headland,,みさき,13077,1
1914,密,,宀,11,6,,secrecy,ミツ,,1977,1
1915,蜜,,虫,14,S,2010,honey,ミツ,,6667,1
1916,脈,,肉,10,5,,vein,ミャク,,8518,1
1917,妙,,女,7,S,,exquisite,ミョウ,,2056,1
1918,民,,氏,5,4,,people,ミン,たみ,590,3
1919,眠,,目,10,S,,sleep,ミン,ねむ-る|ねむ-い,1415,3
1920,矛,,矛,5,S,,halberd,ム,ほこ,4080,1
1921,務,,力,11,5,,duty,ム,つと-める|つと-まる,1274,3
1922,無,,火,12,4,,nothing,ム|ブ,な-い,33,4
1923,夢,,夕,13,5,,dream,ム,ゆめ,515,3
1924,霧,,雨,19,S,,fog,ム,きり,4050,1
1925,娘,,女,10,S,,daughter,,むすめ,500,3
1926,名,,口,6,1,,name,メイ|ミョウ,な,360,5
1927,命,,口,8,3,,fate,メイ|ミョウ,いのち,893,3
1928,明,,日,8,2,,bright,メイ|ミョウ,あ-かり|あか-るい|あか-るむ|あか-らむ|あき-らか|あ-ける|あ-く|あ-くる|あ-かす,427,4
1929,迷,,辵,9,5,,astray,メイ,まよ-う,1671,3
1930,冥,,冖,10,S,2010,dark,メイ|ミョウ,,22764,1
1931,盟,,皿,13,6,,alliance,メイ,,11181,1
1932,銘,,金,14,S,,inscription,メイ,,5571,1
1933,鳴,,鳥,14,2,,chirp,メイ,な-く|な-る|な-らす,2388,3
1934,滅,,水,13,S,,destroy,メツ,ほろ-びる|ほろ-ぼす,3299,1
1935,免,免,儿,8,S,,excuse,メン,まぬか-れる,2743,1
1936,面,,面,9,3,,face,メン,おも|おもて|つら,538,3
1937,綿,,糸,14,5,,cotton,メン,わた,9086,2
1938,麺,麵,麥,16,S,2010,noodles,メン,,5337,1
1939,茂,,艸,8,S,,overgrown,モ,しげ-る,7777,1
1940,模,,木,14,6,,imitation,モ|ボ,,1933,1
1941,毛,,毛,4,2,,hair,モウ,け,3131,2
1942,妄,,女,6,S,1981,delusion,モウ|ボウ,,6510,1
1943,盲,,目,8,S,,blind,モウ,,17699,1
1944,耗,,耒,10,S,,decrease,モウ（コウ）,,14576,1
1945,猛,,犬,11,S,,fierce,モウ,,6352,1
1946,網,,糸,14,S,,netting,モウ,あみ,4575,1
1947,目,,目,5,1,,eye,モク（ボク）,め（ま）,123,4
1948,黙,默,黑,15,S,,silence,モク,だま-る,1272,1
1949,門,,門,8,2,,gates,モン,かど,2239,2
1950,紋,,糸,10,S,,family crest,モン,,6723,1
1951,問,,口,11,3,,question,モン,と-う|と-い（とん）,126,4
1952,冶,,冫,7,S,2010,melting,ヤ,,37494,1
1953,夜,,夕,8,2,,night,ヤ,よ|よる,396,4
1954,野,,里,11,2,,field,ヤ,の,1281,4
1955,弥,彌,弓,8,S,2010,all the more,,や,15600,1
1956,厄,,厂,4,S,1981,unlucky,ヤク,,5512,1
1957,役,,彳,7,3,,service,ヤク|エキ,,694,3
1958,約,,糸,9,4,,promise,ヤク,,1470,3
1959,訳,譯,言,11,6,,translate,ヤク,わけ,92,1
1960,薬,藥,艸,16,3,,medicine,ヤク,くすり,1048,3
1961,躍,,足,21,S,,leap,ヤク,おど-る,2345,1
1962,闇,,門,17,S,2010,darkness,,やみ,1969,1
1963,由,,田,5,3,,reason,ユ|ユウ（ユイ）,よし,309,3
1964,油,,水,8,3,,oil,ユ,あぶら,2373,2
1965,喩,,口,12,S,2010,metaphor,ユ,,13676,1
1966,愉,,心,12,S,,pleasure,ユ,,7509,1
1967,諭,,言,16,S,,rebuke,ユ,さと-す,11856,1
1968,輸,,車,16,5,,transport,ユ,,2686,2
1969,癒,,疒,18,S,1981,healing,ユ,い-える|い-やす,3973,1
1970,唯,,口,11,S,,solely,ユイ（イ）,,342,1
1971,友,,又,4,2,,friend,ユウ,とも,601,5
1972,有,,月,6,3,,have,ユウ|ウ,あ-る,20,4
1973,勇,,力,9,4,,courage,ユウ,いさ-む,2321,2
1974,幽,,幺,9,S,,seclude,ユウ,,6433,1
1975,悠,,心,11,S,1981,permanence,ユウ,,15772,1
1976,郵,,邑,11,6,,mail,ユウ,,3681,2
1977,湧,,水,12,S,2010,boil,ユウ,わ-く,13642,1
1978,猶,,犬,12,S,,furthermore,ユウ,,447,1
1979,裕,,衣,12,S,,abundant,ユウ,,1682,1
1980,遊,,辵,12,3,,play,ユウ（ユ）,あそ-ぶ,684,3
1981,雄,,隹,12,S,,male,ユウ,お|おす,3283,1
1982,誘,,言,14,S,,entice,ユウ,さそ-う,1600,1
1983,憂,,心,15,S,,melancholy,ユウ,うれ-える|うれ-い|う-い,9250,1
1984,融,,虫,16,S,,dissolve,ユウ,,2685,1
1985,優,,人,17,6,,superior,ユウ,やさ-しい|すぐ-れる,808,3
1986,与,與,臼,3,S,,give,ヨ,あた-える,272,3
1987,予,豫,豕,4,3,,in advance,ヨ,,838,3
1988,余,餘,食,7,5,,leave over,ヨ,あま-る|あま-す,313,3
1989,誉,譽,言,13,S,,reputation,ヨ,ほま-れ,5523,1
1990,預,,頁,13,6,,deposit,ヨ,あず-ける|あず-かる,3051,2
1991,幼,,幺,5,6,,infancy,ヨウ,おさな-い,2555,2
1992,用,,用,5,2,,use,ヨウ,もち-いる,400,4
1993,羊,,羊,6,3,,sheep,ヨウ,ひつじ,5124,1
1994,妖,,女,7,S,2010,bewitching,ヨウ,あや-しい,10869,1
1995,洋,,水,9,3,,ocean,ヨウ,,4129,4
1996,要,,襾,9,4,,need,ヨウ,かなめ|い-る,179,3
1997,容,,宀,10,5,,contain,ヨウ,,280,3
1998,庸,,广,11,S,,commonplace,ヨウ,,36418,1
1999,揚,,手,12,S,,hoist,ヨウ,あ-げる|あ-がる,11352,1
2000,揺,搖,手,12,S,,swing,ヨウ,ゆ-れる|ゆ-る|ゆ-らぐ|ゆ-るぐ|ゆ-する|ゆ-さぶる|ゆ-すぶる,2582,1
2001,葉,,艸,12,3,,leaf,ヨウ,は,157,3
2002,陽,,阜,12,3,,sunshine,ヨウ,,1535,3
2003,溶,,水,13,S,,melt,ヨウ,と-ける|と-かす|と-く,3403,2
2004,腰,,肉,13,S,,loins,ヨウ,こし,829,2
2005,様,樣,木,14,3,,formal title,ヨウ,さま,27,3
2006,瘍,,疒,14,S,2010,boil (medical),ヨウ,,10913,1
2007,踊,,足,14,S,,jump,ヨウ,おど-る|おど-り,2152,2
2008,窯,,穴,15,S,,kiln,ヨウ,かま,14239,1
2009,養,,食,15,4,,foster,ヨウ,やしな-う,3745,1
2010,擁,,手,16,S,,embrace,ヨウ,,10613,1
2011,謡,謠,言,16,S,,noh chanting,ヨウ,うたい|うた-う,15652,1
2012,曜,,日,18,2,,day of the week,ヨウ,,3340,4
2013,抑,,手,7,S,,repress,ヨク,おさ-える,1628,1
2014,沃,,水,7,S,2010,fertility,ヨク,,26483,1
2015,浴,,水,10,4,,bathe,ヨク,あ-びる|あ-びせる,2285,2
2016,欲,,欠,11,6,,longing,ヨク,ほっ-する|ほ-しい,597,3
2017,翌,,羽,11,6,,the following,ヨク,,2380,2
2018,翼,,羽,17,S,,wing,ヨク,つばさ,4683,1
2019,拉,,手,8,S,2010,crush,ラ,,16605,1
2020,裸,,衣,13,S,,naked,ラ,はだか,3617,1
2021,羅,,网,19,S,1981,gauze,ラ,,7597,1
2022,来,來,人,7,2,,come,ライ,く-る|きた-る|きた-す,56,5
2023,雷,,雨,13,S,,thunder,ライ,かみなり,6095,1
2024,頼,賴,貝,16,S,,trust,ライ,たの-む|たの-もしい|たよ-る,815,3
2025,絡,,糸,12,S,,entwine,ラク,から-む|から-まる|から-める,1089,2
2026,落,,艸,12,3,,fall,ラク,お-ちる|お-とす,630,3
2027,酪,,酉,13,S,,dairy products,ラク,,33005,1
2028,辣,,辛,14,S,2010,bitter,ラツ,,20641,1
2029,乱,亂,乙,7,6,,riot,ラン,みだ-れる|みだ-す,3483,2
2030,卵,,卩,7,6,,egg,ラン,たまご,1506,2
2031,覧,覽,見,17,6,,perusal,ラン,,3313,1
2032,濫,,水,18,S,,excessive,ラン,,16831,1
2033,藍,,艸,18,S,2010,indigo,ラン,あい,10679,1
2034,欄,欄,木,20,S,,column,ラン,,4766,1
2035,吏,,口,6,S,,officer,リ,,16127,1
2036,利,,刀,7,4,,profit,リ,き-く,400,3
2037,里,,里,7,2,,village,リ,さと,4381,2
2038,理,,玉,11,2,,reason,リ,,309,4
2039,痢,,疒,12,S,,diarrhea,リ,,6791,1
2040,裏,,衣,13,6,,back,リ,うら,1484,2
2041,履,,尸,15,S,,footgear,リ,は-く,1989,1
2042,璃,,玉,15,S,2010,glassy,リ,,28676,1
2043,離,,隹,19,S,,detach,リ,はな-れる|はな-す,594,1
2044,陸,,阜,11,4,,land,リク,,5768,2
2045,立,,立,5,1,,stand up,リツ（リュウ）,た-つ|た-てる,254,4
2046,律,,彳,9,6,,law,リツ（リチ）,,504,2
2047,慄,,心,13,S,2010,fear,リツ,,25969,1
2048,略,,田,11,5,,abbreviation,リャク,,755,2
2049,柳,,木,9,S,,willow,リュウ,やなぎ,9278,1
2050,流,,水,10,3,,stream,リュウ（ル）,なが-れる|なが-す,772,3
2051,留,,田,10,5,,detain,リュウ（ル）,と-める|と-まる,1846,3
2052,竜,龍,龍,10,S,1981,dragon,リュウ,たつ,4552,1
2053,粒,,米,11,S,,grains,リュウ,つぶ,7223,2
2054,隆,隆,阜,11,S,,hump,リュウ,,17770,1
2055,硫,,石,12,S,,sulphur,リュウ,,20641,1
2056,侶,,人,9,S,2010,companion,リョ,,7321,1
2057,旅,,方,10,3,,trip,リョ,たび,1120,4
2058,虜,虜,虍,13,S,,captive,リョ,,8205,1
2059,慮,,心,15,S,,prudence,リョ,,1795,1
2060,了,,亅,2,S,,finish,リョウ,,2191,2
2061,両,兩,入,6,3,,both,リョウ,,1343,3
2062,良,,艮,7,4,,good,リョウ,よ-い,82,3
2063,料,,斗,10,4,,fee,リョウ,,688,4
2064,涼,,水,11,S,,refreshing,リョウ,すず-しい|すず-む,4398,2
2065,猟,獵,犬,11,S,,game-hunting,リョウ,,11239,1
2066,陵,,阜,11,S,,mausoleum,リョウ,みささぎ,14783,1
2067,量,,里,12,4,,quantity,リョウ,はか-る,1055,2
2068,僚,,人,14,S,,colleague,リョウ,,3275,1
2069,領,,頁,14,5,,territory,リョウ,,2435,2
2070,寮,,宀,15,S,,dormitory,リョウ,,8010,1
2071,療,,疒,17,S,,heal,リョウ,,1296,2
2072,瞭,,目,17,S,2010,clear,リョウ,,7299,1
2073,糧,,米,18,S,,provisions,リョウ（ロウ）,かて,5491,1
2074,力,,力,2,1,,power,リョク|リキ,ちから,299,4
2075,緑,綠,糸,14,3,,green,リョク（ロク）,みどり,1361,2
2076,林,,木,8,1,,woods,リン,はやし,3099,2
2077,厘,,厂,9,S,,thousandth,リン,,43644,1
2078,倫,,人,10,S,,ethics,リン,,7969,1
2079,輪,,車,15,4,,wheel,リン,わ,3192,2
2080,隣,,阜,16,S,,neighboring,リン,とな-る|となり,1099,1
2081,臨,,臣,18,6,,look to,リン,のぞ-む,3748,1
2082,瑠,,玉,14,S,2010,lapis lazuli,ル,,28676,1
2083,涙,淚,水,10,S,,tears,ルイ,なみだ,1033,2
2084,累,,糸,11,S,,accumulate,ルイ,,20146,1
2085,塁,壘,土,12,S,,bases,ルイ,,20859,1
2086,類,類,頁,18,4,,sort,ルイ,たぐ-い,879,3
2087,令,,人,5,4,,orders,レイ,,1279,2
2088,礼,禮,示,5,3,,thanks,レイ|ライ,,3626,3
2089,冷,,冫,7,4,,cool,レイ,つめ-たい|ひ-える|ひ-や|ひ-やす|ひ-やかす|さ-める|さ-ます,1443,3
2090,励,勵,力,7,S,,encourage,レイ,はげ-む|はげ-ます,4479,1
2091,戻,戾,戶,7,S,1981,re-,レイ,もど-す|もど-る,315,3
2092,例,,人,8,4,,example,レイ,たと-える,224,3
2093,鈴,,金,13,S,,small bell,レイ|リン,すず,6800,1
2094,零,,雨,13,S,,zero,レイ,,1107,2
2095,霊,靈,雨,15,S,,spirits,レイ|リョウ,たま,4317,1
2096,隷,,隶,16,S,,slave,レイ,,5819,1
2097,齢,齡,齒,17,S,,age,レイ,,1105,2
2098,麗,,鹿,19,S,,lovely,レイ,うるわ-しい,502,1
2099,暦,曆,日,14,S,,calendar,レキ,こよみ,11408,1
2100,歴,歷,止,14,5,,curriculum,レキ,,647,2
2101,列,,刀,6,3,,row,レツ,,2838,3
2102,劣,,力,6,S,,inferiority,レツ,おと-る,3925,1
2103,烈,,火,10,S,,ardent,レツ,,3439,1
2104,裂,,衣,12,S,,split,レツ,さ-く|さ-ける,5301,1
2105,恋,戀,心,10,S,,romance,レン,こ-う|こい|こい-しい,1835,2
2106,連,,辵,10,4,,take along,レン,つら-なる|つら-ねる|つ-れる,696,3
2107,廉,,广,13,S,,bargain,レン,,29094,1
2108,練,練,糸,14,3,,practice,レン,ね-る,1727,2
2109,錬,鍊,金,16,S,,tempering,レン,,28886,1
2110,呂,,口,7,S,2010,spine,ロ,,3367,1
2111,炉,爐,火,8,S,,hearth,ロ,,10760,1
2112,賂,,貝,13,S,2010,bribe,ロ,,13786,1
2113,路,,足,13,3,,road,ロ,じ,1318,3
2114,露,,雨,21,S,,dew,ロ（ロウ）,つゆ,5168,1
2115,老,,老,6,4,,old man,ロウ,お-いる|ふ-ける,1563,3
2116,労,勞,力,7,4,,labour,ロウ,,1775,3
2117,弄,,廾,7,S,2010,tamper with,ロウ,もてあそ-ぶ,6577,1
2118,郎,郞,邑,9,S,,son,ロウ,,6530,1
2119,朗,朗,月,10,6,,melodious,ロウ,ほが-らか,16528,1
2120,浪,,水,10,S,,wandering,ロウ,,12307,1
2121,廊,廊,广,12,S,,corridor,ロウ,,2107,1
2122,楼,樓,木,13,S,,watchtower,ロウ,,37494,1
2123,漏,,水,14,S,,leak,ロウ,も-る|も-れる|も-らす,3037,1
2124,籠,,竹,22,S,2010,basket,ロウ,かご|こ-もる,3468,1
2125,六,,八,4,1,,six,ロク,む|む-つ|むっ-つ（むい）,337,5
2126,録,錄,金,16,4,,record,ロク,,1540,2
2127,麓,,鹿,19,S,2010,foot of a mountain,ロク,ふもと,7090,1
2128,論,,言,15,6,,theory,ロン,,265,3
2129,和,,口,8,3,,peace,ワ（オ）,やわ-らぐ|やわ-らげる|なご-む|なご-やか,233,3
2130,話,,言,13,2,,talk,ワ,はな-す|はなし,142,5
2131,賄,,貝,13,S,,bribe|board,ワイ,まかな-う,6940,1
2132,脇,,肉,10,S,2010,aside,,わき,2340,1
2133,惑,,心,12,S,,beguile,ワク,まど-う,3278,1
2134,枠,,木,8,S,1981,frame,,わく,3589,1
2135,湾,灣,水,12,S,,gulf,ワン,,3036,2
2136,腕,,肉,12,S,,arm,ワン,うで,863,2
